"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Sub-type","Series"
"Conference Paper","Reitblatt M,Foster N,Rexford J,Schlesinger C,Walker D","Abstractions for Network Update","","2012","","","323–334","Association for Computing Machinery","New York, NY, USA","Proceedings of the ACM SIGCOMM 2012 Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication","Helsinki, Finland","2012","9781450314190","","https://doi.org/10.1145/2342356.2342427;http://dx.doi.org/10.1145/2342356.2342427","10.1145/2342356.2342427","Configuration changes are a common source of instability in networks, leading to outages, performance disruptions, and security vulnerabilities. Even when the initial and final configurations are correct, the update process itself often steps through intermediate configurations that exhibit incorrect behaviors. This paper introduces the notion of consistent network updates---updates that are guaranteed to preserve well-defined behaviors when transitioning mbetween configurations. We identify two distinct consistency levels, per-packet and per-flow, and we present general mechanisms for implementing them in Software-Defined Networks using switch APIs like OpenFlow. We develop a formal model of OpenFlow networks, and prove that consistent updates preserve a large class of properties. We describe our prototype implementation, including several optimizations that reduce the overhead required to perform consistent updates. We present a verification tool that leverages consistent updates to significantly reduce the complexity of checking the correctness of network control software. Finally, we describe the results of some simple experiments demonstrating the effectiveness of these optimizations on example applications.","planned change, consistency, openflow, software-defined networking, frenetic, network programming languages","","","SIGCOMM '12"
"Journal Article","Reitblatt M,Foster N,Rexford J,Schlesinger C,Walker D","Abstractions for Network Update","SIGCOMM Comput. Commun. Rev.","2012","42","4","323–334","Association for Computing Machinery","New York, NY, USA","","","2012-08","","0146-4833","https://doi.org/10.1145/2377677.2377748;http://dx.doi.org/10.1145/2377677.2377748","10.1145/2377677.2377748","Configuration changes are a common source of instability in networks, leading to outages, performance disruptions, and security vulnerabilities. Even when the initial and final configurations are correct, the update process itself often steps through intermediate configurations that exhibit incorrect behaviors. This paper introduces the notion of consistent network updates---updates that are guaranteed to preserve well-defined behaviors when transitioning mbetween configurations. We identify two distinct consistency levels, per-packet and per-flow, and we present general mechanisms for implementing them in Software-Defined Networks using switch APIs like OpenFlow. We develop a formal model of OpenFlow networks, and prove that consistent updates preserve a large class of properties. We describe our prototype implementation, including several optimizations that reduce the overhead required to perform consistent updates. We present a verification tool that leverages consistent updates to significantly reduce the complexity of checking the correctness of network control software. Finally, we describe the results of some simple experiments demonstrating the effectiveness of these optimizations on example applications.","software-defined networking, openflow, frenetic, network programming languages, consistency, planned change","","",""
"Conference Paper","Rauter T,Höller A,Iber J,Kreiner C","Static and Dynamic Integrity Properties Patterns","","2016","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 21st European Conference on Pattern Languages of Programs","Kaufbeuren, Germany","2016","9781450340748","","https://doi.org/10.1145/3011784.3011798;http://dx.doi.org/10.1145/3011784.3011798","10.1145/3011784.3011798","Integrity is a crucial property in current computing systems. Due to natural or human-made (malicious and non-malicious) faults this property can be violated. Therefore, many methodologies and patterns that check or verify the integrity of systems or data have been introduced. However, integrity as a property cannot be identified directly. Existing methodologies tackle this problem by identifying other, computable, properties of the system and use a policy that describes how these properties reflect the integrity of the overall system. It is thus a critical task to select the right properties that reflect the integrity of a system in such a way that given integrity requirements are met. To ease this process, we introduce two new patterns, Static Integrity Properties and Dynamic Integrity Properties to classify the properties. Static Integrity Properties are used to ensure the integrity of a component prior it's use (e.g., the integrity of an executable binary), while Dynamic Integrity Properties are used to ensure the integrity of a component during run-time (e.g., properties that reflect the component's behavior or state transitions). Based on an exemplary embedded control system, we show typical use cases to help the system or software architect to choose the right class of integrity properties for the targeted system.","software integrity, security patterns","","","EuroPlop '16"
"Conference Paper","Li D","Poster: Toward a Theoretical Privacy Framework for Electronic Locks in Context of Home Security Monitoring System for Clouds of Things","","2015","","","393–394","Association for Computing Machinery","New York, NY, USA","Proceedings of the 16th ACM International Symposium on Mobile Ad Hoc Networking and Computing","Hangzhou, China","2015","9781450334891","","https://doi.org/10.1145/2746285.2764870;http://dx.doi.org/10.1145/2746285.2764870","10.1145/2746285.2764870","Current popular schemes e.g. homomorphic cryptography are extensively deployed to preserve privacy in a limited level but without a formal privacy model, we can neither offer privacy guarantee nor quantify the privacy loss. In this paper, we raise a few privacy-related questions, one after another, with the e-Lock state changes in a smart home as an example. In a novel privacy framework we proposed, the questions are partially addressed with the utilization of a set of theoretical models e.g. hidden markov model, differential privacy and information flow with belief. Since our paper is still at its start phase, we plan to accomplish the framework and wish can inspire colleagues' interests in this area.","electronic lock, formal privacy model, privacy preservation","","","MobiHoc '15"
"Conference Paper","Sartakov VA,Brenner S,Ben Mokhtar S,Bouchenak S,Thomas G,Kapitza R","EActors: Fast and Flexible Trusted Computing Using SGX","","2018","","","187–200","Association for Computing Machinery","New York, NY, USA","Proceedings of the 19th International Middleware Conference","Rennes, France","2018","9781450357029","","https://doi.org/10.1145/3274808.3274823;http://dx.doi.org/10.1145/3274808.3274823","10.1145/3274808.3274823","Novel trusted execution support, as offered by Intel's Software Guard eXtensions (SGX), embeds seamlessly into user space applications by establishing regions of encrypted memory, called enclaves. Enclaves comprise code and data that is executed under special protection of the CPU and can only be accessed via an enclave defined interface. To facilitate the usability of this new system abstraction, Intel offers a software development kit (SGX SDK). While the SDK eases the use of SGX, it misses appropriate programming support for inter-enclave interaction, and demands to hardcode the exact use of trusted execution into applications, which restricts flexibility.This paper proposes EActors, an actor framework that is tailored to SGX and offers a more seamless, flexible and efficient use of trusted execution -- especially for applications demanding multiple enclaves. EActors disentangles the interaction with enclaves and, among them, from costly execution mode transitions. It features lightweight fine-grained parallelism based on the concept of actors, thereby avoiding costly SGX SDK provided synchronisation constructs. Finally, EActors offers a high degree of freedom to execute actors, either untrusted or trusted, depending on security requirements and performance demands. We implemented two use cases on top of EActors: (i) a secure instant messaging service, and (ii) a secure multi-party computation service. Both illustrate the ability of EActors to seamlessly and effectively build secure applications. Furthermore, our performance evaluation results show that securing the messaging service with EActors improves performance compared to the vanilla versions of JabberD2 and ejabberd by up to 40x.","Trusted Execution, Intel SGX, Actors","","","Middleware '18"
"Conference Paper","Meza A,Kastner R","Automated Generation, Verification, and Ranking of Secure SoC Access Control Policies","","2023","","","198–202","Association for Computing Machinery","New York, NY, USA","Proceedings of Cyber-Physical Systems and Internet of Things Week 2023","San Antonio, TX, USA","2023","","","https://doi.org/10.1145/3576914.3587508;http://dx.doi.org/10.1145/3576914.3587508","10.1145/3576914.3587508","Modern System-on-chip (SoC) architectures are a heterogeneous mix of microprocessors, custom accelerators, memories, interfaces, peripherals, and other resources. These resources communicate using complex on-chip interconnect networks that attempt to quickly and efficiently arbitrate memory transactions whose behaviors can vary drastically depending on the current mode of operation and system operating state. Security- and safety-critical applications require access control policies that define how these resources interact to ensure that malicious and unsafe behaviors do not occur. The process of defining and then verifying the security of these access control policies relies heavily on manual effort. This paper describes an automated methodology to generate, verify, and rank secure SoC access control policies. Our methodology targets access control policies for AKER access control systems.","Security Verification, Access Control, System-on-Chip","","","CPS-IoT Week '23"
"Conference Paper","Guo Y,Zigerelli A,Zhang Y,Yang J","IVcache: Defending Cache Side Channel Attacks via Invisible Accesses","","2021","","","403–408","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2021 on Great Lakes Symposium on VLSI","Virtual Event, USA","2021","9781450383936","","https://doi.org/10.1145/3453688.3461481;http://dx.doi.org/10.1145/3453688.3461481","10.1145/3453688.3461481","The sharing of last-level cache (LLC) among different CPU cores makes cache vulnerable to side channel attacks. An attacker can get private information about co-running applications (victims) by monitoring their accesses in LLC. Cache side channel attacks can be mitigated by partitioning cache between the victim and attacker. However, previous partition works either make weak assumptions about the attacker's strength or force their security mechanisms and thus overhead to every user on the system, regardless of their security requirement.We argue that offering security protection as a service is a better choice for secure cache design. To achieve this, we propose Invisible-Victim cache (IVcache), a new cache partition design targeting both the original LLC attack and the new variant. IVcache classifies all security domains on the system as protected and unprotected. For LLC accesses from protected domains, IVcache handles cache state changes in a slightly different way to make those accesses invisible to any other security domains. We implement and evaluate IVcache in Gem5. The experimental results show that IVcache can defend against real-world attacks, and that it introduces negligible performance overhead to protected domains and no overhead to unprotected domains.","security, cache, side channel","","","GLSVLSI '21"
"Conference Paper","Zhang T,Lee RB","New Models of Cache Architectures Characterizing Information Leakage from Cache Side Channels","","2014","","","96–105","Association for Computing Machinery","New York, NY, USA","Proceedings of the 30th Annual Computer Security Applications Conference","New Orleans, Louisiana, USA","2014","9781450330053","","https://doi.org/10.1145/2664243.2664273;http://dx.doi.org/10.1145/2664243.2664273","10.1145/2664243.2664273","Side-channel attacks try to breach confidentiality and retrieve critical secrets through the side channels. Cache memories are a potential source of information leakage through side-channel attacks, many of which have been proposed. Meanwhile, different cache architectures have also been proposed to defend against these attacks. However, there are currently no means for comparing and evaluating the effectiveness of different defense solutions against these attacks.In this paper, we propose a novel method to evaluate a system's vulnerability to side-channel attacks. We establish side-channel leakage models based on the non-interference property. Then we define how the security aspects of a cache architecture can be modeled as a finite-state machine (FSM) with state transitions that cause interference. We use mutual information to quantitatively reveal potential side-channel leakage of the architectures, and allow comparison of these architectures for their relative vulnerabilities to side-channel attacks. We use real attacks to validate our results.","","","","ACSAC '14"
"Conference Paper","Hively LM,McDonald JT","Theorem-Based, Data-Driven, Cyber Event Detection","","2013","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the Eighth Annual Cyber Security and Information Intelligence Research Workshop","Oak Ridge, Tennessee, USA","2013","9781450316873","","https://doi.org/10.1145/2459976.2460041;http://dx.doi.org/10.1145/2459976.2460041","10.1145/2459976.2460041","Nonlinear dynamics and graph theory may provide a theorem-based path to improve design security and aid detection of anomalous events in cyber applications. Using side-channel information such as power taken from underlying computer components and analyzing noisy data such as timing, we ask the question of whether such data can reveal anomalous activity or verify the changing dynamics of an underlying computer system. Takens' theorem in nonlinear dynamics allows reconstruction of topologically invariant, time-delay-embedding states from the computer dynamics in a sufficiently high-dimensional space. The resultant dynamical states are vertices, and the state-to-state transitions are edges in a graph. Graph theorems guarantee topologically invariant measures to quantify the dynamical changes, based on the applications that are executing. This paper highlights recent applications of the phase-space analysis technique in the non-cyber realm (forewarning of biomedical events and equipment failures), and proposes new applications that would bolster cyber event detection.","phasespace analysis, graph theory, nonlinear dynamics, cyber anomaly detection, power measurement","","","CSIIRW '13"
"Conference Paper","John DJ,Smith RW,Turkett WH,Cañas DA,Fulp EW","Evolutionary Based Moving Target Cyber Defense","","2014","","","1261–1268","Association for Computing Machinery","New York, NY, USA","Proceedings of the Companion Publication of the 2014 Annual Conference on Genetic and Evolutionary Computation","Vancouver, BC, Canada","2014","9781450328814","","https://doi.org/10.1145/2598394.2605437;http://dx.doi.org/10.1145/2598394.2605437","10.1145/2598394.2605437","A Moving Target (MT) defense constantly changes a system's attack surface, in an attempt to limit the usefulness of the reconnaissance the attacker has collected. One approach to this defense strategy is to intermittently change a system's configuration. These changes must maintain functionality and security, while also being diverse. Finding suitable configuration changes that form a MT defense is challenging. There are potentially a large number of individual configurations' settings to consider, without a full understanding of the settings' interdependencies.Evolution-based algorithms, which formulate better solutions from good solutions, can be used to create a MT defense. New configurations are created based on the security of previous configurations and can be periodically implemented to change the system's attack surface. This approach not only has the ability to discover new, more secure configurations, but is also proactive and resilient since it can continually adapt to the current environment in a fashion similar to systems found in nature.This article presents and compares two genetic algorithms to create a MT defense. The primary difference between the two is based on their approaches to mutation. One mutates values, and the other modifies the domains from which values are chosen.","directed mutation, moving target defense, computer security","","","GECCO Comp '14"
"Conference Paper","Morelli A,Stefanelli C,Tortonesi M,Lenzi R,Suri N","A Proxy Gateway Solution to Provide QoS in Tactical Networks and Disaster Recovery Scenarios","","2015","","","43–50","Association for Computing Machinery","New York, NY, USA","Proceedings of the 11th ACM Symposium on QoS and Security for Wireless and Mobile Networks","Cancun, Mexico","2015","9781450337571","","https://doi.org/10.1145/2815317.2815318;http://dx.doi.org/10.1145/2815317.2815318","10.1145/2815317.2815318","Many important public services, such as security and public health, as well as the modern tactical military scenarios, rely on Service-oriented Architectures (SoAs) and commercial off-the-shelf (COTS) components to enable the quick development and deployment of distributed services to respond quickly, reduce costs, and ease system integration. However, SoAs make use of verbose networking technologies and require reliable and relatively high bandwidth communications. Tactical scenarios normally cannot rely on such infrastructure and events like natural disasters can severely damage the network infrastructure in rural and urban environments. Thus, there is a need to develop solutions that provide SoA-based application and services running on heterogeneous and often constrained devices that compose tactical and mobile ad-hoc networks with Quality of Service (QoS) levels that meet their requirements. This paper presents the QoS-enabling features and the gateway operational mode (GM) of ACM NetProxy, the network proxy component of a communications middleware specifically developed to support applications in challenged networks. GM allows nodes in an ad-hoc wireless network to be quickly organized and to shape outbound communications to reduce bandwidth consumption and provide QoS. Experimental results obtained during a test in a field demonstration event show its efficiency.","qos, network proxy, disaster recovery, communications middleware, tactical networks","","","Q2SWinet '15"
"Conference Paper","Fielding RT,Taylor RN","Principled Design of the Modern Web Architecture","","2000","","","407–416","Association for Computing Machinery","New York, NY, USA","Proceedings of the 22nd International Conference on Software Engineering","Limerick, Ireland","2000","9781581132069","","https://doi.org/10.1145/337180.337228;http://dx.doi.org/10.1145/337180.337228","10.1145/337180.337228","The World Wide Web has succeeded in large part because its software architecture has been designed to meet the needs of an Internet-scale distributed hypermedia system. The modern Web architecture emphasizes scalability of component interactions, generality of interfaces, independent deployment of components, and intermediary components to reduce interaction latency, enforce security, and encapsulate legacy systems. In this paper, we introduce the Representational State Transfer (REST) architectural style, developed as an abstract model of the Web architecture to guide our redesign and definition of the Hypertext Transfer Protocol and Uniform Resource Identifiers. We describe the software engineering principles guiding REST and the interaction constraints chosen to retain those principles, contrasting them to the constraints of other architectural styles. We then compare the abstract model to the currently deployed Web architecture in order to elicit mismatches between the existing protocols and the applications they are intended to support.","software architecture, software architectural style, WWW","","","ICSE '00"
"Conference Paper","Speicher P,Steinmetz M,Hoffmann J,Backes M,Künnemann R","Towards Automated Network Mitigation Analysis","","2019","","","1971–1978","Association for Computing Machinery","New York, NY, USA","Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing","Limassol, Cyprus","2019","9781450359337","","https://doi.org/10.1145/3297280.3297473;http://dx.doi.org/10.1145/3297280.3297473","10.1145/3297280.3297473","Penetration testing is a well-established practical concept for the identification of potentially exploitable security weaknesses and an important component of a security audit. Providing a holistic security assessment for networks consisting of several hundreds hosts is hardly feasible though without some sort of mechanization. Mitigation, prioritizing counter-measures subject to a given budget, currently lacks a solid theoretical understanding and is hence more art than science. In this work, we propose the first approach for conducting comprehensive what-if analyses in order to reason about mitigation in a conceptually well-founded manner. To evaluate and compare mitigation strategies, we use simulated penetration testing, i.e., automated attack-finding, based on a network model to which a subset of a given set of mitigation actions, e.g., changes to the network topology, system updates, configuration changes etc. is applied. Using Stackelberg planning, we determine optimal combinations that minimize the maximal attacker success (similar to a Stackelberg game), and thus provide a well-founded basis for a holistic mitigation strategy. We show that these Stackelberg planning models can largely be derived from network scan, public vulnerability databases and manual inspection with various degrees of automation and detail, and we simulate mitigation analysis on networks of different size and vulnerability.","simulated penetration testing, planning, network security","","","SAC '19"
"Conference Paper","Oliveira AL,Delicato FC,Pirmez M","JanioS: Um Serviço de SSH Para o Prometheus","","2008","","","173–175","Association for Computing Machinery","New York, NY, USA","Companion Proceedings of the XIV Brazilian Symposium on Multimedia and the Web","Vila Velha, Espírito Santo, Brazil","2008","9788576691990","","https://doi.org/10.1145/1809980.1810030;http://dx.doi.org/10.1145/1809980.1810030","10.1145/1809980.1810030","The recent proliferation of portable devices with increasing computational power as well as the advent of new wireless network technologies has enabled the realization of the ubiquitous computing vision. The paradigm of ubiquitous computing raises new challenges and requirements, such as the need of applications to adapt in the face of context changes while providing a suitable level of security to the user. This paper presents JanioS, an implementation of a new version to a library that provides SSH tunnel connections (Secure Shell) between applications. JanioS will be part of Prometheus, a system for provision of a service for adaptive security target to ubiquitous environment. JanioS will be able to dynamically adapt security parameters, such as cryptographic and data compression algorithms, according to the current execution context.","","","","WebMedia '08"
"Conference Paper","Payer M,Gross TR","Protecting Applications against TOCTTOU Races by User-Space Caching of File Metadata","","2012","","","215–226","Association for Computing Machinery","New York, NY, USA","Proceedings of the 8th ACM SIGPLAN/SIGOPS Conference on Virtual Execution Environments","London, England, UK","2012","9781450311762","","https://doi.org/10.1145/2151024.2151052;http://dx.doi.org/10.1145/2151024.2151052","10.1145/2151024.2151052","Time Of Check To Time Of Use (TOCTTOU) race conditions for file accesses in user-space applications are a common problem in Unix-like systems. The mapping between filename and inode and device is volatile and can provide the necessary preconditions for an exploit. Applications use filenames as the primary attribute to identify files but the mapping between filenames and inode and device can be changed by an attacker.DynaRace is an approach that protects unmodified applications from file-based TOCTTOU race conditions. DynaRace uses a transparent mapping cache that keeps additional state and metadata for each accessed file in the application. The combination of file state and the current system call type are used to decide if (i) the metadata is updated or (ii) the correctness of the metadata is enforced between consecutive system calls.DynaRace uses user-mode path resolution internally to resolve individual file atoms. Each file atom is verified or updated according to the associated state in the mapping cache. More specifically, DynaRace protects against race conditions for all file-based system calls, by replacing the unsafe system calls with a set of safe system calls that utilize the mapping cache. The system call is executed only if the state transition is allowed and the information in the mapping cache matches.DynaRace deterministically solves the problem of file-based race conditions for unmodified applications and removes an attacker's ability to exploit the TOCTTOU race condition. DynaRace detects injected alternate inode and device pairs and terminates the application.","file-based TOCTTOU race protection, TOCTTOU races, virtualization, race protection, dynamic protection, security","","","VEE '12"
"Journal Article","Payer M,Gross TR","Protecting Applications against TOCTTOU Races by User-Space Caching of File Metadata","SIGPLAN Not.","2012","47","7","215–226","Association for Computing Machinery","New York, NY, USA","","","2012-03","","0362-1340","https://doi.org/10.1145/2365864.2151052;http://dx.doi.org/10.1145/2365864.2151052","10.1145/2365864.2151052","Time Of Check To Time Of Use (TOCTTOU) race conditions for file accesses in user-space applications are a common problem in Unix-like systems. The mapping between filename and inode and device is volatile and can provide the necessary preconditions for an exploit. Applications use filenames as the primary attribute to identify files but the mapping between filenames and inode and device can be changed by an attacker.DynaRace is an approach that protects unmodified applications from file-based TOCTTOU race conditions. DynaRace uses a transparent mapping cache that keeps additional state and metadata for each accessed file in the application. The combination of file state and the current system call type are used to decide if (i) the metadata is updated or (ii) the correctness of the metadata is enforced between consecutive system calls.DynaRace uses user-mode path resolution internally to resolve individual file atoms. Each file atom is verified or updated according to the associated state in the mapping cache. More specifically, DynaRace protects against race conditions for all file-based system calls, by replacing the unsafe system calls with a set of safe system calls that utilize the mapping cache. The system call is executed only if the state transition is allowed and the information in the mapping cache matches.DynaRace deterministically solves the problem of file-based race conditions for unmodified applications and removes an attacker's ability to exploit the TOCTTOU race condition. DynaRace detects injected alternate inode and device pairs and terminates the application.","dynamic protection, security, virtualization, file-based TOCTTOU race protection, TOCTTOU races, race protection","","",""
"Journal Article","Johansen NS,Kær LB,Madsen AL,Nielsen KØ,Srba J,Tollund RG","Kaki: Efficient Concurrent Update Synthesis for SDN","Form. Asp. Comput.","2023","","","","Association for Computing Machinery","New York, NY, USA","","","2023-06","","0934-5043","https://doi.org/10.1145/3605952;http://dx.doi.org/10.1145/3605952","10.1145/3605952","Modern computer networks based on the software-defined networking (SDN) paradigm are becoming increasingly complex and often require frequent configuration changes in order to react to traffic fluctuations. It is essential that forwarding policies are preserved not only before and after the configuration update but also at any moment during the inherently distributed execution of such an update. We present Kaki, a Petri game based tool for automatic synthesis of switch batches which can be updated in parallel without violating a given (regular) forwarding policy like waypointing or service chaining. Kaki guarantees to find the minimum number of concurrent batches and supports both splittable and nonsplittable flow forwarding. In order to achieve optimal performance, we introduce two novel optimisation techniques based on static analysis: decomposition into independent subproblems and identification of switches that can be collectively updated in the same batch. These techniques considerably improve the performance of our tool Kaki, relying on TAPAAL’s verification engine for Petri games as its backend. Experiments on a large benchmark of real networks from the Internet Topology Zoo database demonstrate that Kaki outperforms the state-of-the-art tools Netstack and FLIP. Kaki computes concurrent update synthesis significantly faster than Netstack and compared to FLIP, it provides shorter (and provably optimal) concurrent update sequences at similar runtimes.","computer networks, security policies, software defined networking, concurrent update synthesis","Just Accepted","",""
"Conference Paper","Kumar A,Lee LH,Chauhan J,Su X,Hoque MA,Pirttikangas S,Tarkoma S,Hui P","PassWalk: Spatial Authentication Leveraging Lateral Shift and Gaze on Mobile Headsets","","2022","","","952–960","Association for Computing Machinery","New York, NY, USA","Proceedings of the 30th ACM International Conference on Multimedia","Lisboa, Portugal","2022","9781450392037","","https://doi.org/10.1145/3503161.3548252;http://dx.doi.org/10.1145/3503161.3548252","10.1145/3503161.3548252","Secure and usable user authentication on mobile headsets is a challenging problem. The miniature-sized touchpad on such devices becomes a hurdle to user interactions that impact usability. However, the most common authentication methods, i.e., the standard QWERTY virtual keyboard or mid-air inputs to enter passwords are highly vulnerable to shoulder surfing attacks. In this paper, we present PassWalk, a keyboard-less authentication system leveraging multi-modal inputs on mobile headsets. PassWalk demonstrates the feasibility of user authentication driven by the user's gaze and lateral shifts (i.e., footsteps) simultaneously. The keyboard-less authentication interface in PassWalk enables users to accomplish highly mobile inputs of graphical passwords, containing digital overlays and physical objects. We conduct an evaluation with 22 recruited participants (15 legitimate users and 7 attackers). Our results show that PassWalk provides high security (only 1.1% observation attacks were successful) with a mean authentication time of 8.028s, which outperforms the commercial method of using the QWERTY virtual keyboard (21.5% successful attacks) and a research prototype LookUnLock (5.5% successful attacks). Additionally, PassWalk entails a significantly smaller workload on the user than the current commercial methods.","authentication, AR/VR, immersive reality, mobile headsets, metaverse","","","MM '22"
"Conference Paper","AlAhmadi BA,Mariconti E,Spolaor R,Stringhini G,Martinovic I","BOTection: Bot Detection by Building Markov Chain Models of Bots Network Behavior","","2020","","","652–664","Association for Computing Machinery","New York, NY, USA","Proceedings of the 15th ACM Asia Conference on Computer and Communications Security","Taipei, Taiwan","2020","9781450367509","","https://doi.org/10.1145/3320269.3372202;http://dx.doi.org/10.1145/3320269.3372202","10.1145/3320269.3372202","Botnets continue to be a threat to organizations, thus various machine learning-based botnet detectors have been proposed. However, the capability of such systems in detecting new or unseen botnets is crucial to ensure its robustness against the rapid evolution of botnets. Moreover, it prolongs the effectiveness of the system in detecting bots, avoiding frequent and time-consuming classifier re-training. We present BOTection, a privacy-preserving bot detection system that models the bot network flow behavior as a Markov Chain. The Markov Chain state transitions capture the bots' network behavior using high-level flow features as states, producing content-agnostic and encryption resilient behavioral features. These features are used to train a classifier to first detect flows produced by bots, and then identify their bot families. We evaluate our system on a dataset of over 7M malicious flows from 12 botnet families, showing its capability of detecting bots' network traffic with 99.78% F-measure and classifying it to a malware family with a 99.09% F-measure. Notably, due to the modeling of general bot network behavior by the Markov Chains, BOTection can detect traffic belonging to unseen bot families with an F-measure of 93.03% making it robust against malware evolution.","malware detection, malware, network security, botnet","","","ASIA CCS '20"
"Conference Paper","Mao Y,Zhang Y,Zhong S","Stemming Downlink Leakage from Training Sequences in Multi-User MIMO Networks","","2016","","","1580–1590","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2016 ACM SIGSAC Conference on Computer and Communications Security","Vienna, Austria","2016","9781450341394","","https://doi.org/10.1145/2976749.2978412;http://dx.doi.org/10.1145/2976749.2978412","10.1145/2976749.2978412","Multi-User MIMO has attracted much attention due to its significant advantage of increasing the utilization ratio of wireless channels. Recently a serious eavesdropping attack, which exploits the CSI feedback of the FDD system, is discovered in MU-MIMO networks. In this paper, we firstly show a similar eavesdropping attack for the TDD system is also possible by proposing a novel, feasible attack approach. Following it, a malicious user can eavesdrop on other users' downloads by transforming training sequences. To prevent this attack, we propose a secure CSI estimation scheme for instantaneous CSI. Furthermore, we extend this scheme to achieve adaptive security when CSI is relatively statistical. We have implemented our scheme for both uplink and downlink of MU-MIMO and performed a series of experiments. Results show that our secure CSI estimation scheme is highly effective in preventing downlink leakage against malicious users.","multi-user mimo, physical security, channel state information, eavesdropping","","","CCS '16"
"Conference Paper","Pan L,Tomlinson A,Koloydenko AA","Time Pattern Analysis of Malware by Circular Statistics","","2017","","","119–130","IEEE Press","Beijing, China","Proceedings of the Symposium on Architectures for Networking and Communications Systems","","2017","9781509063864","","https://doi.org/10.1109/ANCS.2017.26;http://dx.doi.org/10.1109/ANCS.2017.26","10.1109/ANCS.2017.26","Circular statistics present a new technique to analyse the time patterns of events in the field of cyber security. We apply this technique to analyse incidents of malware infections detected by network monitoring. In particular we are interested in the daily and weekly variations of these events.Based on ""live"" data provided by Spamhaus, we examine the hypothesis that attacks on four countries are distributed uniformly over 24 hours. Specifically, we use Rayleigh and Watson tests. While our results are mainly exploratory, we are able to demonstrate that the attacks are not uniformly distributed, nor do they follow a Poisson distribution as reported in other research. Our objective in this is to identify a distribution that can be used to establish risk metrics.Moreover, our approach provides a visual overview of the time patterns' variation, indicating when attacks are most likely. This will assist decision makers in cyber security to allocate resources or estimate the cost of system monitoring during high risk periods.Our results also reveal that the time patterns are influenced by the total number of attacks. Networks subject to a large volume of attacks exhibit bimodality while one case, where attacks were at relatively lower rate, showed a multi-modal daily variation.","time patterns, uniformity hypothesis test, Circular statistics, malware","","","ANCS '17"
"Conference Paper","Li A,Li J,Han D,Zhang Y,Li T,Zhang Y","WearRF-CLA: Continuous Location Authentication with Wrist Wearables and UHF RFID","","2022","","","508–520","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2022 ACM on Asia Conference on Computer and Communications Security","Nagasaki, Japan","2022","9781450391405","","https://doi.org/10.1145/3488932.3517426;http://dx.doi.org/10.1145/3488932.3517426","10.1145/3488932.3517426","Continuous location authentication (CLA) seeks to continuously and automatically verify the physical presence of legitimate users in a protected indoor area. CLA can play an important role in contexts where access to electrical or physical resources must be limited to physically present legitimate users. In this paper, we present WearRF-CLA, a novel CLA scheme built upon increasingly popular wrist wearables and UHF RFID systems. WearRF-CLA explores the observation that human daily routines in a protected indoor area comprise a sequence of human-states (e.g., walking and sitting) that follow predictable state transitions. Each legitimate WearRF-CLA user registers his/her RFID tag and also wrist wearable during system enrollment. After the user enters a protected area, WearRF-CLA continuously collects and processes the gyroscope data of the wrist wearable and the phase data of the RFID tag signals to verify three factors to determine the user's physical presence/absence without explicit user involvement: (1) the tag ID as in a traditional RFID authentication system, (2) the validity of the human-state chain, and (3) the continuous coexistence of the paired wrist wearable and RFID tag with the user. The user passes CLA if and only if all three factors can be validated. Extensive user experiments on commodity smartwatches and UHF RFID devices confirm the very high security and low authentication latency of WearRF-CLA.","wireless security, wrist wearables, deep learning, rfid, continuous location authentication (cla)","","","ASIA CCS '22"
"Journal Article","Agarwal R,Bilokhatniuk S","Android Authentication and Device Administration API","J. Comput. Sci. Coll.","2012","27","5","187–195","Consortium for Computing Sciences in Colleges","Evansville, IN, USA","","","2012-05","","1937-4771","","","This paper examines security capabilities of Android open source operating system based on GNU/Linux and components developed by Google. The focus of this paper is analysis of Android screen-locker and login applications. Many default Android applications can be replaced by new applications, which can offer different interface or add new functionality. Screen-locker is an integral part of Android, and while it cannot be replaced directly, there are ways to implement applications to offer same functionality, and possibly more features. Android 2.2 Device Administration API is tightly coupled with the native screen-locker and login mechanism, allowing for development of robust and adaptive security applications and centralized policy management tools. A new screen-locker and authentication app was created using Device Administration API and is discussed in this paper.","","","",""
