"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Publisher","Address","Proceedings title","Date published","ISBN","ISBN (alt.)","ISSN","URLs","DOI","Abstract","Keywords","Notes","Affiliation","Language","Series"
"Conference Paper","Chiniforooshan Y,Bock WJ,Ma J","Cheben P,Schmid J,Boudoux C,Chen LR,Delage A,Janz S,Kashyap R,Lockwood DJ,Loock HP,Mi Z","Enhanced optical fiber fluorometer using a Periodic Perturbation in the fiber core","","2013","8915","","","Univ Laval, Ctr Optique, Photonique & Laser; Canadian Photon Ind Consortium; Inst Natl Optique; Quebec Photon Network; CMC Microsystems; INRS","SPIE-INT SOC OPTICAL ENGINEERING","1000 20TH ST, PO BOX 10, BELLINGHAM, WA 98227-0010 USA","PHOTONICS NORTH 2013","2013","9780819497918","","0277-786X","http://dx.doi.org/10.1117/12.2037798","10.1117/12.2037798","Tracing of the specific chemicals and biological agents in a solution is becoming a vital interest in health, security and safety industries. Although a number of standard laboratory-based testing systems exists for detecting such targets, but the fast, real-time and on-site methods could be more efficient and cost-effective. One of the most common ways to detect a target in the solution is to use the fluorophore molecules which will be selectively attached to the targets and will emit or quench the fluorescence in presence of the target. The fiber-optic fluorometers are developed for inexpensive and portable detection. In this paper, we explain a novel multi-segment fiber structure which uses the periodic perturbation on the side-wall of a highly multi-mode fiber to enhance collecting the fluorescent light. This periodic perturbation is fabricated and optimized on the core of the fiber using a CO2 laser. The theoretical explanation to show the physical principle of the structure is followed by the experimental evidence of its functioning.","Fluorescence; optical fiber; periodic; perturbation; CO2 laser; mode coupling; sensor; probe","Photonics North Conference, Ottawa, CANADA, JUN 03-05, 2013","Chiniforooshan, Y (Corresponding Author), Univ Quebec Outaouais, Dept Engn & Comp Sci, Photon Res Ctr, 101 Rue St Jean Bosco, Gatineau, PQ, Canada. Chiniforooshan, Yasser; Bock, Wojtek J.; Ma, Jianjun, Univ Quebec Outaouais, Dept Engn & Comp Sci, Photon Res Ctr, Gatineau, PQ, Canada.","English","Proceedings of SPIE"
"Conference Paper","Xing Q,Wang B,Wang X,Tang Y,Wang Y","","Deja Q Encore RIBE: Anonymous Revocable Identity-based Encryption with Short Parameters","","2017","","","","IEEE; Intel; Natl Instruments; Huawei; Keysight Technologies Inc; Nanyang Technol Univ, Sch Elect & Elect Engn; Rohde & Schwarz","IEEE","345 E 47TH ST, NEW YORK, NY 10017 USA","GLOBECOM 2017 - 2017 IEEE GLOBAL COMMUNICATIONS CONFERENCE","2017","9781509050192","","2334-0983","","","Revocable Identity-Based Encryption (RIBE) allows feasible key revoke to enable dynamic user management in certificateless system. The existing RIBE schemes fail to keep receivers anonymity, or short parameters, or adaptive security. Hence, we overcome the drawbacks of previous schemes and contribute to an Anonymous RIBE (ARIBE) scheme with two advantages: (1) the provable full security under the adaptive-ID attack in the standard model and (2) the sufficient efficiency in optimal parameters-the secret subkey and the update subkey are one group element each and decryption only requires two pairings. To our best knowledge, our construction is the first IBE scheme that simultaneously achieves efficient revocability, anonymity and full security in the exponent-inversion IBE family.","Functional Encryption; Identity-Based Encryption; Key Revocation; Anonymity; Adaptive security; Dual system encryption; Bilinear maps","IEEE Global Telecommunications Conference (GLOBECOM), YourSingapore, Singapore, SINGAPORE, DEC 04-08, 2017","Xing, QQ (Corresponding Author), Natl Univ Def Technol, Sch Comp, Changsha, Hunan, Peoples R China. Xing, Qianqian; Wang, Baosheng; Wang, Xiaofeng; Tang, Yong; Wang, Yi, Natl Univ Def Technol, Sch Comp, Changsha, Hunan, Peoples R China.","English","IEEE Global Communications Conference"
"Conference Paper","Vaduva JA,Chiscariu RE,Culic I,Florea IM,Rughinis R","Roceanu I,Belgian D,Stefan IA,Moldoveanu A,Matu ST","ADREM: System Call Based Intrusion Detection Framework","","2019","","","159-164","European Secur & Def Coll; Romania Partnership Ctr; Natl Def Univ Carol I","CAROL I NATL DEFENCE UNIV PUBLISHING HOUSE","PANDURI ST, 68-72, BUCHAREST, 00000, ROMANIA","NEW TECHNOLOGIES AND REDESIGNING LEARNING SPACES, VOL I","2019","","","2066-026X","http://dx.doi.org/10.12753/2066-026X-19-021","10.12753/2066-026X-19-021","We are living in an era where computers govern the educational process. The market is flooded with puzzles, games, quizzes or other kinds of applications destined to help teachers explain different concepts and to enable students to practice their skills and test the knowledge. For all these systems, be them computers, server or embedded devices, the internet connection is the essential aspect. As a result, we have children and students working with devices that are exposed to the highest degree of security issues and threats. Attacks are continuously evolving, becoming more flexible, adaptable and hard to detect, and leaving children and students vulnerable to malicious software that can either collect sensitive information about them or expose them to inappropriate content. Because of this, it is only natural that security solutions became of significant importance for the tech educational industry. Computers, servers and embedded devices are exposed to the highest degree of security issues and threats since the internet became an essential need. Attacks are continuously evolving, becoming more flexible, adaptable and hard to detect. This made only natural the shift towards adaptive security oriented solutions. One of the security those solutions is represented by anomaly based intrusion detection techniques. Anomaly based intrusion detection systems build a baseline of normal behavior. For a Linux based operating system, which represents a great percent of the platforms used in education, this is accomplished by monitoring a given process or sets of processes. Any significant deviation from the baseline model is flagged as malicious activity. This paper proposes a framework for intrusion detection using system call traces captured from services running on a container. The work done is based on The Australian Defence Force Academy Linux Dataset, better known as ADFA-LD. The analysis is done taking into consideration the temporal allocation of the system calls. The classification module is based on supervised machine learning techniques. To test the accuracy of the framework, a case study involving a database application running under a Linux container is analyzed. The results together with the proposed framework implementation are described in details.","intrusion detection; supervised machine learning; system call","15th International Scientific Conference on eLearning and Software for Education (eLSE) - New Technologies and Redesigning Learning Spaces, Bucharest, ROMANIA, APR 11-12, 2019","Vaduva, JA (Corresponding Author), Univ Politehn Bucuresti, Fac Automat Control & Comp, Bucharest, Romania. Vaduva, Jan-Alexandru; Chiscariu, Radu-Emanuel; Culic, Ioana; Florea, Iulia-Maria; Rughinis, Razvan, Univ Politehn Bucuresti, Fac Automat Control & Comp, Bucharest, Romania.","English","eLearning and Software for Education"
"Conference Paper","Cherif A,Alshehri S,Kalkatawi M,Imine A","","Towards an intelligent adaptive security framework for preventing and detecting credit card fraud","","2022","","","","IEEE; ACS","IEEE","345 E 47TH ST, NEW YORK, NY 10017 USA","2022 IEEE/ACS 19TH INTERNATIONAL CONFERENCE ON COMPUTER SYSTEMS AND APPLICATIONS (AICCSA)","2022","","","2161-5322","http://dx.doi.org/10.1109/AICCSA56895.2022.10017814","10.1109/AICCSA56895.2022.10017814","As fraud and cybercrime become more frequent and sophisticated, preventing users from being exposed to risk is a significant challenge for the scientific community. Current banking systems use One Time Password (OTP) sent to the mobile phone to prevent user impersonation attacks. However, it could be compromised by man-in-the-middle attacks. It also presents usability and unavailability problems if the SMS service is inaccessible, especially when traveling or in case of a damaged or stolen phone. Using Machine Learning (ML) techniques to detect and prevent fraudulent actions allows financial organizations to stay one step ahead of fraudsters, whose scale and sophistication continue to grow. Specifically, ML systems can be used to identify additional authentication factors to make the system more robust against attacks. To prevent identity theft attacks and minimize fraudulent transactions, we propose in this work a comprehensive design that combines adaptive multi-factor authentication and adaptive fraud detection for banking systems based on the use of ML technology.","Adaptive authentication; Multi-factor authentication; Credit card fraud detection; Adaptive machine learning; Biometric authentication","19th IEEE/ACS International Conference on Computer Systems and Applications (AICCSA), Zayed Univ, Abu Dhabi, U ARAB EMIRATES, DEC 05-07, 2022","Cherif, A (Corresponding Author), King Abdulaziz Univ, Dept Informat Technol, Jeddah, Saudi Arabia. Cherif, A (Corresponding Author), King Abdulaziz Univ, Ctr Excellent Smart Environm Res, Jeddah, Saudi Arabia. Cherif, Asma; Alshehri, Suhair; Kalkatawi, Manal, King Abdulaziz Univ, Dept Informat Technol, Jeddah, Saudi Arabia. Cherif, Asma, King Abdulaziz Univ, Ctr Excellent Smart Environm Res, Jeddah, Saudi Arabia. Imine, Abdessamad, Lorraine Univ, CNRS, INRIA, F-54506 Nancy, France.","English","International Conference on Computer Systems and Applications"
"Journal Article","Dahiya M,Nitin N,Dahiya D","","Intelligent Cyber Security Framework Based on SC-AJSO Feature Selection and HT-RLSTM Attack Detection","APPLIED SCIENCES-BASEL","2022","12","13","","","MDPI","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","","2022-07","","","","http://dx.doi.org/10.3390/app12136314","10.3390/app12136314","Cyber security is identified as an emerging concern for information technology management in business and society, owing to swift advances in telecommunication and wireless technologies. Cyberspace security has had a tremendous impact on numerous crucial infrastructures. Along with current security status data, historical data should be acquired by the system to implement the latest cyber security defense and protection. It also makes intelligent decisions that can provide adaptive security management and control. An intelligent cyber security framework using Hyperparameter Tuning based on Regularized Long Short-Term Memory (HT-RLSTM) technique was developed in this work to elevate the security level of core system assets. To detect various attacks, the proposed framework was trained and tested on the collection of data. Owing to missing values, poor scaling, imbalanced and overlapped data, the data was primarily incomplete and inconsistent. To elevate the decision making for detecting attacks, the inconsistent or unstructured data issue was addressed. The missing values were handled by this work along with scaling performance using the developed Kernelized Robust Scaler (KRS). Using the developed Random Over Sample-Based Density-Based Spatial Clustering Associated with Noise (ROS-DBSCAN), the imbalanced and overlapped data were handled, which was followed by the relevant feature selection of data utilizing the Sine Cosine-Based Artificial Jellyfish Search Optimization (SC-AJSO) technique. The data were split under the provision of Stratified K-Fold cross-validation along being trained in the proposed HT-RLSTM. The experimental analysis depicted that better accuracy was attained in detecting attacks by the proposed work for different datasets. When analogized with prevailing state-of-the-art methods, a low false detection rate, as well as computation time, was attained by the proposed scheme.","cyber security; Kernelized Robust Scaler (KRS); Sine Cosine-Based Artificial Jellyfish Search Optimization (SC-AJSO); Random Over Sample-Based Density-Based Spatial Clustering Associated with Noise (ROS-DBSCAN); Hyperparameter Tuning based on Regularized Long Short-Term Memory (HT-RLSTM); attacks; Advanced Persistent Threats (APTs)","","Dahiya, D (Corresponding Author), Majmaah Univ, Coll Comp & Informat Sci, Dept Comp Sci, Al Majmaah 11952, Saudi Arabia. Dahiya, Mahima; Nitin, Nitin, Univ Cincinnati, Coll Engn & Appl Sci, Dept Elect Engn & Comp Sci, 2600 Clifton Ave, Cincinnati, OH 45221 USA. Dahiya, Deepak, Majmaah Univ, Coll Comp & Informat Sci, Dept Comp Sci, Al Majmaah 11952, Saudi Arabia.","English",""
"Conference Paper","Gomez-Barrero M,Kolberg J,Busch C","","Multi-Modal Fingerprint Presentation Attack Detection: Analysing the Surface and the Inside","","2019","","","","","IEEE","345 E 47TH ST, NEW YORK, NY 10017 USA","2019 INTERNATIONAL CONFERENCE ON BIOMETRICS (ICB)","2019","9781728136400","","2376-4201","","","The deployment of biometric recognition systems has seen a considerable increase over the last decade, in particular for fingerprint based systems. To tackle the security issues derived from presentation attacks launched on the biometric capture device, automatic presentation attack detection (PAD) methods have been proposed. In spite of their high detection rates on the LivDet databases, the vast majority of the methods rely on the samples provided by traditional capture devices, which may fail to detect more sophisticated presentation attack instrument (PAI) species. In this paper, we propose a multi-modal fingerprint PAD which relies on an analysis of: i) the surface of the finger within the short wave infrared (SWIR) spectrum, and ii) the inside of the finger thanks to the laser speckle contrast imaging (LSCI) technology. On the experimental evaluation over a database comprising more than 4700 samples and 35 PAI species, and including unknown attacks to model a realistic scenario, a Detection Equal Error Rate (D-EER) of 0.5% has been achieved. Moreover, for a BPCER <= 0.1% (i.e., highly convenient system), the APCER remains around 3%.","","International Conference on Biometrics (ICB), Crete, GREECE, JUN 04-07, 2019","Gomez-Barrero, M (Corresponding Author), Hsch Darmstadt, Da Scc Biometr & Internet Secur Res Grp, Darmstadt, Germany. Gomez-Barrero, Marta; Kolberg, Jascha; Busch, Christoph, Hsch Darmstadt, Da Scc Biometr & Internet Secur Res Grp, Darmstadt, Germany.","English","International Conference on Biometrics"
"Journal Article","Valencia NH,Srivastav V,Pivoluska M,Huber M,Friis N,McCutcheon W,Malik M","","High-Dimensional Pixel Entanglement: Efficient Generation and Certification","QUANTUM","2020","4","","","","VEREIN FORDERUNG OPEN ACCESS PUBLIZIERENS QUANTENWISSENSCHAF","BOLTZMANNGASSE 3, WIEN, 1090, AUSTRIA","","2020-12-23","","","2521-327X","http://dx.doi.org/10.22331/q-2020-12-24-376","10.22331/q-2020-12-24-376","Photons offer the potential to carry large amounts of information in their spectral, spatial, and polarisation degrees of freedom. While state-of-the-art classical communication systems routinely aim to maximize this information-carrying capacity via wavelength and spatial-mode division multiplexing, quantum systems based on multi-mode entanglement usually suffer from low state quality, long measurement times, and limited encoding capacity. At the same time, entanglement certification methods often rely on assumptions that compromise security. Here we show the certification of photonic high-dimensional entanglement in the transverse position-momentum degree-of-freedom with a record quality, measurement speed, and entanglement dimensionality, without making any assumptions abolit the state or channels. Using a tailored macro-pixel basis, precise spatial-mode measurements, and a modified entanglement witness, we demonstrate state fidelities of up to 94.4% in a 19-dimensional state-space, entanglement in up to 55 local dimensions, and an entanglement-of-formation of up to 4 obits. Furthermore, our measurement times show an improvement of more than two orders of magnitude over previous state-of-the-art demonstrations. Our results pave the way for noise-robust quantum networks that saturate the information-carrying capacity of single photons.","","","Malik, M (Corresponding Author), Heriot Watt Univ, Inst Photon & Quantum Sci, Edinburgh, Midlothian, Scotland. Malik, M (Corresponding Author), Austrian Acad Sci, Inst Quantum Opt & Quantum Informat IQOQI Vienna, Vienna, Austria. Valencia, Natalia Herrera; Srivastav, Vatshal; McCutcheon, Will; Malik, Mehul, Heriot Watt Univ, Inst Photon & Quantum Sci, Edinburgh, Midlothian, Scotland. Pivoluska, Matej, Slovak Acad Sci, Inst Phys, Bratislava, Slovakia. Pivoluska, Matej, Masaryk Univ, Inst Comp Sci, Brno, Czech Republic. Huber, Marcus; Friis, Nicolai; Malik, Mehul, Austrian Acad Sci, Inst Quantum Opt & Quantum Informat IQOQI Vienna, Vienna, Austria. Huber, Marcus, TU Wien, Atominst, Vienna Ctr Quantum Sci & Technol, A-1020 Vienna, Austria.","English",""
"Journal Article","Wei F,Zeadally S,Vijayakumar P,Kumar N,He D","","An Intelligent Terminal Based Privacy-Preserving Multi-Modal Implicit Authentication Protocol for Internet of Connected Vehicles","IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS","2021","22","7","3939-3951","","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","","2021-07","","","1524-9050","http://dx.doi.org/10.1109/TITS.2020.2998775","10.1109/TITS.2020.2998775","The Internet of connected Vehicles (IOV) can collect, process, compute and release the information of intelligent transportation systems. IOV is an integrated service system that can support the applications for automatic driving, intelligent transport and information services. As the number of incidents on IOV has been on the rise in the past few years, IOV security is becoming increasingly important in the IOV architecture. One of the most notable risks of IOV faces is intelligent terminal security. The vehicle's intelligent terminal can be used to launch for further attacks on the on-board operating system to penetrate into the internal network of connected vehicle, and consequently threaten the safety of the vehicle. Thus, it is of paramount importance that we protect the security of the intelligent terminal. We propose two intelligent terminal based privacy-preserving multi-modal implicit authentication protocols to protect the security of the intelligent terminal in IOV. The proposed protocols use the password and the vehicle owner's behavior features as the authentication factors to protect the security of the intelligent terminal. Since the vehicle owner's behavior features are sensitive and the privacy information of the user must be protected, we also consider the privacy protection of the behavior features. Our protocols do not reveal any information about the vehicle owner's behavior features to the authentication server and the adversary except the ciphertext size of the feature vector. We analyze the security of our proposed protocol and compare them with other related protocols in terms of computation and communications costs. Our results demonstrate that our proposed protocols yield better security and efficiency.","Authentication; connected vehicles; intelligent terminal; Internet of Vehicles; privacy; protocol","","Kumar, N (Corresponding Author), Deemed Univ, Thapar Inst Engn & Technol, Dept Comp Sci & Engn, Patiala 147004, Punjab, India. Wei, Fushan, Henan Key Lab Network Cryptog Technol, Zhengzhou 450001, Peoples R China. Wei, Fushan, China State Key Lab Math Engn & Adv Comp, Zhengzhou 450001, Peoples R China. Zeadally, Sherali, Univ Kentucky, Coll Commun & Informat, Lexington, KY 40506 USA. Vijayakumar, Pandi, Univ Coll Engn Tindivanam, Dept Comp Sci & Engn, Tindivanam 604001, India. Kumar, Neeraj, Deemed Univ, Thapar Inst Engn & Technol, Dept Comp Sci & Engn, Patiala 147004, Punjab, India. Kumar, Neeraj, Asia Univ, Dept Comp Sci & Informat Engn, Taichung 41354, Taiwan. Kumar, Neeraj, King Abdulaziz Univ, Dept Comp Sci & Math, Jeddah 21589, Saudi Arabia. He, Debiao, Wuhan Univ, Sch Cyber Sci & Engn, Wuhan 430072, Peoples R China.","English",""
"Conference Paper","Murthy TS,Reddyka GS,Padmaraju K","","Adaptive Secret Key Generation in Underwater Acoustic System","","2017","","","698-702","IEEE; Saveetha Engn Coll, Elect & Elect Engn Dept","IEEE","345 E 47TH ST, NEW YORK, NY 10017 USA","2017 IEEE INTERNATIONAL CONFERENCE ON POWER, CONTROL, SIGNALS AND INSTRUMENTATION ENGINEERING (ICPCSI)","2017","9781538608142","","","","","Pre-set secret keys are generally used to encipher and decipher the message in communication systems, including underwater acoustic (UWA) systems. Communication is not secure if the keys are compromised, so we need to generate an adaptive shared secret key. The secret keys are generated adaptively using correlated channel estimation, which reckons on the randomness in the environment and does not require the secrecy of data transferred during the process. This concept is extended in UWA channels with orthogonal frequency-division multiplexing (OFDM) systems and implements a protocol to generate secret keys adaptively based on the channel frequency response (CFR). A secret key generated from the CFR estimation manages the channel coding system, namely a turbo-code. This scheme allows to jointly performing an error control and adaptive coding in only one step. This scheme allows an adaptive security coding without change of the hardware structure of the transceiver devices. In our analysis, BER is used as a measure of the performance of channel estimation and mutual information is used as a measure of secret key performance.","Underwater acoustic communications; secret key generation; channel frequency response; turbo codes","IEEE International Conference on Power, Control, Signals and Instrumentation Engineering (IEEE ICPCSI), Saveetha Engn Coll, Thandalam, INDIA, SEP 21-22, 2017","Murthy, TSN (Corresponding Author), JNTU Kakinada, UCEV, Dept ECE, Vizianagaram, Andhra Pradesh, India. Murthy, T. S. N.; Reddyka, G. Satish, JNTU Kakinada, UCEV, Dept ECE, Vizianagaram, Andhra Pradesh, India. Padmaraju, K., JNTU Kakinada, UCEK, Dept ECE, Kakinada, Andhra Pradesh, India.","English",""
"Conference Paper","Sahmoudi M,Dehant V,Issler JL,Perozans F,Caporali A,Tawk Y,Jovanovic A,Botteron C,Farine PA,Reboul S,Landry Jr R,Willis P","","U-SBAS: A Universal multi-SBAS Standard to ensure Compatibility, Interoperability and Interchangeability","","2010","","","","Ctr Natl Etudes Spatiales; European Space Agcy; DLR; Univ Bundeswehr Munchen; IEEE; IEEE Aerosp & Elect Syst Soc","IEEE","345 E 47TH ST, NEW YORK, NY 10017 USA","2010 5TH ESA WORKSHOP ON SATELLITE NAVIGATION TECHNOLOGIES AND EUROPEAN WORKSHOP ON GNSS SIGNALS AND SIGNAL PROCESSING (NAVITEC)","2010","9781424487417","","2325-5439","","","Several regional augmentation GNSS systems (like SBAS) are already fully operational and other are under development with new frequencies and signals on the way. Therefore, it becomes imperative to guarantee for all GNSS users the compatibility, interoperability and interchangeability between all these systems. The goal is to ensure that the user's multi-mode receiver can choose and mix signals from different GNSS and SBAS systems to achieve more availability, accuracy and robustness. Attaining that objective will require agreements on frequency plans and signal designs, as well as other details including means to ensure interoperability of system times and geodetic reference systems. This paper suggests a Universal-SBAS (U-SBAS) standard, compatible with all the existing and planned regional GNSS systems (and their evolutions) in the world, like IRNSS, QZSS, PCW, BEIDOU-1, WAAS, EGNOS, SDCM, GAGAN, MSAS. The proposed worldwide multimodal U-SBAS standard carries additional channels (signals and messages) to cover the non-aeronautical specific Safety-of-Life (SoL) services, and also High Precision Positioning Services (HPPS), Position Velocity Time (PVT), authentication services, safety services, scientific application services, High Precision Timing Services (HPTS), etc. U-SBAS is designed to be fully interoperable with the current SBAS standards and to allow significant performance and service improvements in operational, scientific and/or security areas. Finally usage examples of the proposed standard are given for different types of applications such as science, aviation, precise point positioning, timing, security, robust positioning, maritime and reflectometry.","","5th ESA Workshop on Satellite Navigation Technologies / European Workshop on GNSS Signals and Signal Processing (NAVITEC), European Space Res & Technol Ctr, Noordwijk, NETHERLANDS, DEC 08-10, 2010","Sahmoudi, M (Corresponding Author), ISAE, Toulouse, France. Sahmoudi, Mohamed, ISAE, Toulouse, France. Dehant, Veronique, Royal Observ Belgium, Brussels, Belgium. Issler, Jean-Luc; Perozans, Felix, CNES, Ctr Spatial Toulouse, Toulouse, France. Caporali, Alessandro, Univ Padua, Dept Geosci, Padua, Italy. Tawk, Youssef; Jovanovic, Aleksandar; Botteron, Cyril; Farine, P-A., Ecole Polytech Fed Lausanne, Neuchatel, Switzerland. Reboul, Serge, Univ Lille North France, Calais, France. Landry, Rene Jr., ETS, Montreal, PQ, Canada. Willis, Pascal, Inst Geog Natl, St Mande, France. Willis, Pascal, Inst Phys Globe Paris, Paris, France. Willis, Pascal, Univ Paris Cite Sorbonne, Paris, France.","English","ESA Workshop on Satellite Navigation Technologies and European Workshop on GNSS Signals and Signal Processing"
"Conference Paper","Monwar MM,Gavrilova ML","","Enhancing Security through a Hybrid Multibiometric System","","2009","","","84-91","IEEE","IEEE","345 E 47TH ST, NEW YORK, NY 10017 USA","CIB: 2009 IEEE WORKSHOP ON COMPUTATIONAL INTELLIGENCE IN BIOMETRICS: THEORY, ALGORITHMS, AND APPLICATIONS","2009","9781424427734","","","","","Biometric user authentication techniques for security and access control have evoked an enormous interest by science, industry and society in the last two decades. Scientist and researchers have constantly pursued the technology for automated confirmation of the identity of subjects based on measurements of physiological or behavioral traits of humans. But even the best single biometric system suffers from spoof attacks, intra-class variability, noise, susceptibility etc. To address this issue, we develop a hybrid multibiometric system which integrates multi-algorithm and multi-modal approaches of multibiometric system and use bi-level fusion to combine biometric information. We use face, ear and signature biometric traits which are first classified by three classification techniques-multilayer perceptron, Fisherimage and Bayesian network. The outcomes of these classifiers for face are fused by rank fusion method. Outcomes for ear and signature are also fused similarly. The second level fusion occurs when we combine the results of these three rank fusion methods' outcomes for face, ear and signature with decision fusion method. We use Borda count and Borda fuse approaches for rank fusion and majority voting, weighted majority voting and behavioral knowledge space approaches for decision fusion. The final results indicate that this hybrid multi biometric system outperforms the single biometric systems build on the same data using the same classification algorithms. This system can be effectively used in law enforcement or homeland security department or for commercial purposes.","","IEEE Workshop on Computational Intelligence in Biometrics - Theory, Algorithms and Applications, Nashville, TN, MAR 30-APR 02, 2009","Monwar, MM (Corresponding Author), Univ Calgary, Calgary, AB T2N 1N4, Canada. Monwar, Md. Maruf; Gavrilova, Marina L., Univ Calgary, Calgary, AB T2N 1N4, Canada.","English",""
"Journal Article","Zhang M,Mu Y","","Key continual-leakage resilient broadcast cryptosystem from dual system in broadcast networks","FRONTIERS OF COMPUTER SCIENCE","2014","8","3","456-468","","HIGHER EDUCATION PRESS","CHAOYANG DIST, 4, HUIXINDONGJIE, FUSHENG BLDG, BEIJING 100029, PEOPLES R CHINA","","2014-06","","","2095-2228","http://dx.doi.org/10.1007/s11704-014-3271-y","10.1007/s11704-014-3271-y","In order to tolerate possible leakage of secret keys, leakage-resilient cryptosystem models a class of attractive leakage output by allowing an adversary to provide any computable leakage function and learning the partial keys or other possible internal states from the output of function. In this work, we present an adaptively secure broadcast encryption resilient to key continual leakage in the standard model. Our scheme provides the tolerance of continual leakage, in which any user can generate multiple private keys per user by periodically updating the key. We use the dual system encryption mechanism to implement the leakage resilience and adaptive security, and intrinsically set an algorithm to refresh a key and produce a same distributed new key. We also give the evaluation of the leakage bound and leakage fraction, and the simulations show that our scheme can tolerate about 71% leakage fraction with 3.34 x 10(-52) failure probability in standard 80-bit security level when we adjust the leakage factor to allow the private key to be 100 Kb.","broadcast encryption; leakage resilience; dual system encryption; leakage fraction","","Zhang, MW (Corresponding Author), Hubei Univ Technol, Sch Comp Sci, Wuhan 430068, Peoples R China. Zhang, Mingwu, Hubei Univ Technol, Sch Comp Sci, Wuhan 430068, Peoples R China. Zhang, Mingwu, Chinese Acad Sci, Inst Informat Engn, State Key Lab Informat Secur, Beijing 100093, Peoples R China. Mu, Yi, Univ Wollongong, Sch Comp Sci & Software Engn, Wollongong, NSW 2522, Australia.","English",""
"Journal Article","Noorwali A,Alvi AN,Khan MZ,Javed MA,Boulila W,Pattanaik PA","","A Novel QoS-Oriented Intrusion Detection Mechanism for IoT Applications","WIRELESS COMMUNICATIONS & MOBILE COMPUTING","2021","2021","","","","WILEY-HINDAWI","ADAM HOUSE, 3RD FL, 1 FITZROY SQ, LONDON, WIT 5HE, ENGLAND","","2021-06-18","","","1530-8669","http://dx.doi.org/10.1155/2021/9962697","10.1155/2021/9962697","Wireless sensor network (WSN) is an integral part of Internet of Things (IoT). The sensor nodes in WSN generate large sensing data which is disseminated to intelligent servers using multiple wireless networks. This large data is prone to attacks from malicious nodes which become part of the network, and it is difficult to find these adversaries. The work in this paper presents a mechanism to detect adversaries for the IEEE 802.15.4 standard which is a central medium access protocol used in WSN-based IoT applications. The collisions and exhaustion attacks are detected based on a soft decision-based algorithm. In case the QoS of the network is compromised due to large data traffic, the proposed protocol adaptively varies the duty cycle of the IEEE 802.15.4. Simulation results show that the proposed intrusion detection and adaptive duty cycle algorithm improves the energy efficiency of a WSN with a reduced network delay.","","","Boulila, W (Corresponding Author), Univ Manouba, Natl Sch Comp Sci, RIADI Lab, Manouba, Tunisia. Noorwali, Abdulfattah, Umm Al Qura Univ, Dept Elect Engn, Mecca 21961, Saudi Arabia. Alvi, Ahmad Naseem; Javed, Muhammad Awais, COMSATS Univ Islamabad, Dept Elect & Comp Engn, Islamabad 45550, Pakistan. Khan, Mohammad Zubair, Taibah Univ, Dept Comp Sci, Coll Comp Sci & Engn, Medina, Saudi Arabia. Boulila, Wadii, Univ Manouba, Natl Sch Comp Sci, RIADI Lab, Manouba, Tunisia. Pattanaik, Priyadarshini A., IMT Atlantique, LaTIM Inserm U1101, Image & Informat Proc Dept, F-29238 Brest, France.","English",""
"Journal Article","Cheema U,Moon S","","Sejong face database: A multi-modal disguise face database","COMPUTER VISION AND IMAGE UNDERSTANDING","2021","208","","","","ACADEMIC PRESS INC ELSEVIER SCIENCE","525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA","","2021-07","","","1077-3142","http://dx.doi.org/10.1016/j.cviu.2021.103218","10.1016/j.cviu.2021.103218","Commercial application of facial recognition demands robustness to a variety of challenges such as illumination, occlusion, spoofing, disguise, etc. Disguised face recognition is one of the emerging issues for access control systems, such as security checkpoints at the borders. However, the lack of availability of face databases with a variety of disguise add-ons limits the development of academic research in the area. In this paper, we present a multi-modal disguised face dataset to facilitate the disguised face recognition research. The presented database contains 8 facial add-ons and 7 additional combinations of these add-ons to create a variety of disguised face images. Each facial image is captured in visible, visible plus infrared, infrared, and thermal spectra. Specifically, the database contains 100 subjects divided into Subset-A (30 subjects, 1 image per modality) and Subset-B (70 subjects, 5 plus images per modality). We also present baseline face detection results performed on the proposed database to provide reference results and compare the performance in different modalities. Qualitative and quantitative analysis is performed to evaluate the challenging nature of disguise add-ons. The dataset will be publicly available with the acceptance of the research article.","Biometrics; Disguise recognition; Face database; Face recognition; Multi-modal","","Moon, S (Corresponding Author), Sejong Univ, Seoul 05006, South Korea. Cheema, Usman; Moon, Seungbin, Sejong Univ, Seoul 05006, South Korea.","English",""
